language, why, which_platform, which_mobile_os, web, want_to_work_for, think_about_microsoft, try_something_new, favourite_toy, prefer_to_learn, car
"c", "just_for_fun", "", "", "", "", "", "", "", "harder_way", "manual"
"python", "for_my_kids", "", "", "", "", "", "", "", "", ""
"python", "i_dont_know", "", "", "", "", "", "", "", "", ""
"java", "make_money", "doesn_t_matter", "", "", "", "", "", "", "", ""
"cpp", "make_money", "gaming", "", "", "", "", "", "", "", ""
"objectivec", "make_money", "mobile", "ios", "", "", "", "", "", "", ""
"java", "make_money", "mobile", "android", "", "", "", "", "", "", ""
"python", "make_money", "facebook", "", "", "", "", "", "", "", ""
"python", "make_money", "google", "", "", "", "", "", "", "", ""
"csharp", "make_money", "microsoft", "", "", "", "", "", "", "", ""
"objectivec", "make_money", "apple", "", "", "", "", "", "", "", ""
"javascript", "make_money", "web", "", "front_end", "", "", "", "", "", ""
"csharp", "make_money", "web", "", "back_end", "corporate", "im_a_fan", "", "", "", ""
"java", "make_money", "web", "", "back_end", "corporate", "not_bad", "", "", "", ""
"java", "make_money", "web", "", "back_end", "corporate", "suck", "", "", "", ""
"javascript", "make_money", "web", "", "back_end", "startup", "", "yes", "", "", ""
"python", "make_money", "web", "", "back_end", "startup", "", "no", "lego", "", ""
"ruby", "make_money", "web", "", "back_end", "startup", "", "no", "play_doh", "", ""
"php", "make_money", "web", "", "back_end", "startup", "", "no", "old_ugly", "", ""
"csharp", "make_money", "enterprise", "", "", "", "im_a_fan", "", "", "", ""
"java", "make_money", "", "", "", "enterprise", "not_bad", "", "", "", ""
"java", "make_money", "", "", "", "enterprise", "suck", "", "", "", ""
"python", "just_for_fun", "", "", "", "", "", "", "", "easy_way", ""
"python", "just_for_fun", "", "", "", "", "", "", "", "best_way", ""
"java", "just_for_fun", "", "", "", "", "", "", "", "harder_way", "auto"
"c", "just_for_fun", "", "", "", "", "", "", "", "harder_way", "manual"
"cpp", "just_for_fun", "", "", "", "", "", "", "", "hardest_way", ""
"python", "im_interested", "", "", "", "", "", "", "", "easy_way", ""
"python", "im_interested", "", "", "", "", "", "", "", "best_way", ""
"java", "im_interested", "", "", "", "", "", "", "", "harder_way", "auto"
"c", "im_interested", "", "", "", "", "", "", "", "harder_way", "manual"
"cpp", "im_interested", "", "", "", "", "", "", "", "hardest_way", ""
"python", "improve_myself", "", "", "", "", "", "", "", "easy_way", ""
"python", "improve_myself", "", "", "", "", "", "", "", "best_way", ""
"java", "improve_myself", "", "", "", "", "", "", "", "harder_way", "auto"
"c", "improve_myself", "", "", "", "", "", "", "", "harder_way", "manual"
"cpp", "improve_myself", "", "", "", "", "", "", "", "hardest_way", ""
